"isocode","isonum","country","rugged","rugged_popw","rugged_slope","rugged_lsd","rugged_pc","land_area","lat","lon","soil","desert","tropical","dist_coast","near_coast","gemstones","rgdppc_2000","rgdppc_1950_m","rgdppc_1975_m","rgdppc_2000_m","rgdppc_1950_2000_m","q_rule_law","cont_africa","cont_asia","cont_europe","cont_oceania","cont_north_america","cont_south_america","legor_gbr","legor_fra","legor_soc","legor_deu","legor_sca","colony_esp","colony_gbr","colony_fra","colony_prt","colony_oeu","africa_region_n","africa_region_s","africa_region_w","africa_region_e","africa_region_c","slave_exports","dist_slavemkt_atlantic","dist_slavemkt_indian","dist_slavemkt_saharan","dist_slavemkt_redsea","pop_1400","european_descent"
"ROU",642,"Romania",1.267,0.555,4.005,0.357,16.71,22971,45.843,24.986,69.642,0,0,0.367,6.7651,0,5889.324,1181.952,3761.37,3005.54,2935.706,-0.15,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1250000,99.43
"RUS",643,"Russian Federation",0.94,0.355,3.278,0.267,11.412,1638134,61.99,96.711,17.718,0.056,0,1.841,2.76605,205550,7095.689,NA,NA,5276.657,NA,-0.873,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,6481410,99.5
"RWA",646,"Rwanda",3.309,3.178,8.748,0.855,64.627,2467,-2.003,29.923,42.97,0,68.88,0.946,0,0,1039.172,546.902,805.649,818.696,739.706,-1.4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10.754,2.623,3.568,2.102,211005,0
"SAU",682,"Saudi Arabia",0.914,0.688,2.514,0.231,8.891,214969,24.097,44.562,0,37.258,0,0.304,13.6641,0,12374.11,2230.766,11787.042,7647.705,7612.613,0.343,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2000000,0
"SCG",891,"Serbia and Montenegro",1.673,0.711,5.144,0.48,27.128,10200,43.866,20.599,67.976,0,0,0.236,11.654,0,NA,NA,NA,2313.608,NA,-1.16,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,981591,98.68
"SDN",736,"Sudan",0.442,0.292,1.186,0.116,2.891,237600,13.887,30.09,19.8,2.16,20.679,0.917,2.92113,0,1682.674,820.837,910.048,991.254,903.639,-1.547,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,864000,15.253,3.528,1.827,0.983,3776350,0
"SEN",686,"Senegal",0.244,0.246,0.647,0.065,0.168,19253,14.361,-14.474,60.496,0,34.999,0.165,32.4713,0,1435.082,1258.898,1396.079,1358.175,1348.293,-0.207,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,377000,3.898,10.791,3.035,5.518,442565,1.3
"SGP",702,"Singapore",0.016,0.004,0.036,0.005,0,67,1.361,103.82,3.488,0,100,0.003,100,0,23611.61,2218.961,6430.213,22518.17,8339.448,1.577,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,49570,0.5
"SHN",654,"Saint Helena",3.863,2.368,11.182,1.205,72.252,39,-25.656,-10.466,10.256,0,0,0.001,100,0,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,3.541,7.512,5.804,6.07,0,NA
"SJM",744,"Svalbard and Jan Mayen Islands",1.623,1.278,6.575,0.464,24.247,NA,78.845,18.31,NA,0,0,0.276,13.7615,0,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"SLB",90,"Solomon Islands",1.54,1.109,4.111,0.476,21.213,2799,-8.895,159.601,80.002,0,100,0.003,100,0,1862.47,NA,NA,NA,NA,-1.195,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,43289,NA
"SLE",694,"Sierra Leone",0.498,0.574,1.317,0.144,1.943,7162,8.561,-11.791,7.546,0,100,0.1,51.5546,16819,466.647,656.268,1125.709,409.872,904.314,-1.29,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,69606.719,3.705,10.188,3.474,5.41,338261,0
"SLV",222,"El Salvador",1.75,1,4.746,0.518,26.108,2072,13.724,-88.869,65.938,0,100,0.039,99.6575,0,4594.274,1488.813,2503.697,2715.551,2147.779,-0.743,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,150732,50
"SMR",674,"San Marino",1.802,1.925,5.497,0.522,14.144,6,43.944,12.459,0,0,0,0.025,100,0,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"SOM",706,"Somalia",0.65,0.45,1.711,0.17,6.914,62734,6.061,45.867,7.535,3.358,0,0.126,44.7664,0,NA,1056.633,1201.617,863.075,1117.015,-2.203,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,32276.752,12.058,2.358,3.09,0.695,661618,0
"SPM",666,"Saint Pierre and Miquelon",0.833,1.054,2.467,0.247,2.892,23,46.936,-56.323,0,0,0,0.001,100,0,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"STP",678,"Sao Tome and Principe",2.347,0.876,5.991,0.71,42.127,96,0.446,6.727,88.013,0,100,0.004,100,0,NA,820.358,1421.447,1225.896,1255.841,-0.205,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5.197,8.474,3.67,3.932,0,NA
"SUR",740,"Suriname",0.307,0.034,0.815,0.096,0.743,15600,4.133,-55.911,22.425,0,100,0.191,25.757,0,NA,NA,NA,NA,NA,-0.323,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"SVK",703,"Slovakia",1.56,0.672,5.043,0.442,23.419,4810,48.707,19.487,60.924,0,0,0.554,0,0,11303.75,NA,NA,8219.698,NA,0.263,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,698933,99.61
"SVN",705,"Slovenia",2.496,0.746,7.713,0.711,39.108,2014,46.112,14.823,67.604,0,0,0.091,61.6056,0,16873.33,NA,NA,12876.633,NA,0.973,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,202779,100
"SWE",752,"Sweden",0.715,0.343,2.53,0.207,3.868,41033,62.777,16.759,15.853,0,0,0.223,21.2438,0,25899.88,6739.231,14183.347,20709.986,13259.333,1.813,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,800000,99.3
"SWZ",748,"Swaziland",3.063,2.301,8.574,0.775,54.481,1720,-26.565,31.501,54.413,0,2.876,0.113,36.2172,426,4681.445,721.089,2461.908,2630.322,1902.181,-0.16,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,8.291,2.622,6.295,4.423,9707,2.8
"SYC",690,"Seychelles",4.885,1.802,11.129,1.278,54.101,46,-6.723,51.924,13.043,0,100,0,100,0,17957.47,1912.258,3250.874,6353.528,3625.007,0.58,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,11.457,1.742,4.635,2.253,0,NA
"SYR",760,"Syrian Arab Republic",0.756,0.741,2.174,0.198,6.63,18378,35.014,38.498,52.909,3.445,0,0.244,16.7091,0,3242.195,2408.502,5570.152,7368.301,4961.027,-0.367,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1306601,0
"TCA",796,"Turks and Caicos Islands",0.007,0.01,0.013,0.003,0,43,21.75,-71.856,0,0,100,0.001,100,0,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"TCD",148,"Chad",0.419,0.197,1.135,0.112,3.605,125920,15.365,18.667,19.262,21.72,13.413,1.254,0,0,821.15,475.502,550.5,428.787,472.883,-0.92,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,529000,5.581,8.876,1.879,2.026,776187,0
"TGO",768,"Togo",0.28,0.247,0.745,0.088,0.981,5439,8.528,0.977,56.646,0,100,0.263,16.778,0,1436.855,573.994,1055.553,614.222,833.23,-0.893,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,290000,4.926,9.258,3.009,4.085,231251,0
"THA",764,"Thailand",1.051,0.189,2.826,0.302,16.408,51089,15.107,101.018,20.144,0,99.546,0.193,29.3876,0,6279.51,817.049,1958.72,6397.871,2729.121,0.477,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1741101,0
"TJK",762,"Tajikistan",5.301,1.033,15.976,1.54,75.473,13996,38.527,71.038,17.449,0.025,0,1.505,0,0,785.469,NA,NA,883.162,NA,-1.61,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,286375,3.9
"TKL",772,"Tokelau",0,0,0,0,0,1,-9.088,-171.83,NA,0,100,0,100,0,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"TKM",795,"Turkmenistan",0.284,0.248,0.834,0.082,1.426,46993,39.194,59.178,3.97,55.087,0,1.286,0,0,3667.555,NA,NA,2324.556,NA,-1.18,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,226444,5.5
"TLS",626,"Timor-Leste",1.85,1.286,5.001,0.584,28.298,1487,-8.827,125.858,64.979,0,100,0.013,100,0,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,36325,0
"TON",776,"Tonga",0.773,0.07,1.992,0.224,9.737,72,-19.859,-174.847,100,0,100,0,100,0,6568.724,NA,NA,NA,NA,-0.38,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,19021,NA
"TTO",780,"Trinidad and Tobago",0.603,0.521,1.611,0.184,5.099,513,10.469,-61.257,50.384,0,100,0.008,100,0,8969.766,3674.051,9117.805,13681.761,8591.538,0.42,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,10258,7.1
"TUN",788,"Tunisia",0.726,0.585,2.079,0.198,7.434,15536,34.12,9.579,31.727,20.664,0,0.114,48.8258,0,6251.551,1114.596,2446.059,4552.262,2441.64,-0.083,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,7.48,15.833,0.31,3.205,836512,0
"TUR",792,"Turkey",2.62,1.192,7.773,0.732,40.909,76963,39.061,35.174,65.295,0,0,0.152,38.9877,0,6510.354,1622.933,3894.789,6609.014,3821.776,-0.04,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,6438306,10
"TUV",798,"Tuvalu",0.025,0.02,0.055,0.008,0,3,-7.414,178.052,66.667,0,100,0,100,0,NA,NA,NA,NA,NA,1.69,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"TWN",158,"Taiwan",3.49,0.429,9.785,1.032,56.543,3615,23.752,120.953,9.843,0,8.846,0.023,100,0,NA,924.393,3958.396,16858.584,5906.895,0.867,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,174110,0
"TZA",834,"United Republic of Tanzania",0.677,0.541,1.814,0.201,5.346,88580,-6.266,34.826,39.711,0,88.294,0.42,10.2759,9035,521.827,423.714,600.268,535.125,527.04,-0.43,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,535000,10.595,2.558,4.056,2.187,1496403,0
"UGA",800,"Uganda",0.913,0.779,2.424,0.251,8.765,19710,1.282,32.388,13.095,0.02,97.783,0.909,0,0,1243.514,686.854,784.287,796.523,699.696,-0.7,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4553.603,10.996,2.699,3.204,1.65,1322790,0
"UKR",804,"Ukraine",0.416,0.359,1.317,0.117,1.988,57935,49.009,31.411,69.003,0,0,0.365,13.6144,0,4108.69,NA,NA,2745.334,NA,-0.823,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2347003,100
"UMI",581,"United States Minor Outlying Islands",0.005,0.035,0.011,0.001,0,NA,7.141,-153.655,NA,0,100,0,100,0,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"URY",858,"Uruguay",0.435,0.391,1.283,0.114,0.136,17502,-32.802,-56.013,68.979,0,0,0.142,37.4727,0,8781.518,4659.398,5421.178,7883.267,5841.658,0.55,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,91.89
"USA",840,"United States of America",1.073,0.333,3.384,0.304,14.317,916192,45.718,-112.982,41.6,0.278,0.358,0.677,13.1656,0,33970.17,9561.348,16283.633,28448.85,17349.756,1.697,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,783496,76.02
"UZB",860,"Uzbekistan",0.526,0.243,1.589,0.154,5.782,42540,41.633,63.341,11.72,32.152,0,1.645,0,0,1515.708,NA,NA,3478.961,NA,-1.023,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1180650,7.5
"VAT",336,"Holy See",0.438,0.428,1.162,0.126,0,NA,41.904,12.451,100,0,0,0.02,100,0,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"VCT",670,"Saint Vincent and the Grenadines",3.071,1.878,8.401,0.892,61.286,39,13.185,-61.205,38.818,0,100,0.001,100,0,5334.509,NA,NA,NA,NA,0.06,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1081,NA
"VEN",862,"Venezuela (Bolivarian Republic of)",0.634,0.594,1.716,0.202,5.994,88205,7.132,-66.153,21.567,0,96.752,0.306,25.2528,5124,5685.12,7461.959,10471.647,8414.729,9366.497,-0.73,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,377635,54.5
"VGB",92,"British Virgin Islands",1.257,1.873,3.131,0.34,19.147,15,18.511,-64.518,100,0,100,0,100,0,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,120,NA
"VIR",850,"United States Virgin Islands",1.404,1.268,3.652,0.395,17.088,35,17.985,-64.805,100,0,100,0.001,100,0,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,432,NA
"VNM",704,"Viet Nam",2.054,0.439,5.603,0.583,36.775,31106,16.643,106.306,12.15,0,56.535,0.112,57.8169,0,2011.743,658.076,709.929,1808.773,932.382,-0.553,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1665106,0
"VUT",548,"Vanuatu",1.729,1.041,4.709,0.545,24.993,1219,-16.196,167.703,79.892,0,100,0.002,100,0,3172.14,NA,NA,NA,NA,-0.455,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,22994,NA
"WLF",876,"Wallis and Futuna Islands",1.306,0.977,3.505,0.4,24.238,14,-13.829,-177.194,42.857,0,100,0,100,0,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"WSM",882,"Samoa",1.677,0.968,4.644,0.549,22.244,283,-13.738,-172.168,100,0,100,0.003,100,0,4860.269,NA,NA,NA,NA,0.36,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,33072,NA
"YEM",887,"Yemen",2.323,2.197,6.155,0.591,33.06,52797,15.863,47.58,0,10.75,0,0.148,38.1163,0,787.749,911.231,1783.548,2619.284,1703.219,-1.127,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2250000,0
"ZAF",710,"South Africa",1.761,1.318,4.942,0.45,23.957,121447,-29.004,25.094,27.647,4.386,0.179,0.306,18.9404,144785,9419.122,2534.946,4270.851,3978.219,3667.399,0.207,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2030.663,6.766,3.457,6.584,4.895,486527,18
"ZMB",894,"Zambia",0.533,0.506,1.422,0.145,2.455,74339,-13.458,27.794,23.114,0,17.132,0.9,0,0,774.01,660.91,1040.744,645.375,863.642,-0.587,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,27957.102,9.027,2.389,4.849,3.253,348220,1
"ZWE",716,"Zimbabwe",1.194,1.106,3.232,0.306,13.837,38685,-19,29.869,54.877,0,8.401,0.499,0,898,2499.215,700.979,1401.811,1327.85,1163.542,-0.813,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1088.177,9.027,2.389,5.454,3.696,174110,1
